nombre,marca,anio_lanzamiento,perfumista,genero,familia_olfativa,notas_salida,notas_corazon,notas_fondo,duracion,estela
Chanel No. 5,Chanel,1921,Ernest Beaux,Femenino,Floral aldehidado,"Aldehidos, Bergamota, Limón","Iris, Jazmín, Rosa, Lirio de los valles","Sándalo, Váinilla, Ámbar, Almizcle",Muy duradero,Moderado
Chanel Coco Mademoiselle,Chanel,2001,Jacques Polge,Femenino,Oriental floral,"Naranja, Bergamota","Rosa, Jazmín, Lichi","Pachuli, Váinilla, Ámbar, Almizcle",Duradero,Moderado a fuerte
Dior J'adore,Dior,1999,Calice Becker,Femenino,Floral fruitál,"Bergamota, Pera, Mandarina","Jazmín, Orquídea, Rosa, Ylang-Ylang","Almizcle, Madera",Duradero,Moderado
Dior Sauvage,Dior,2015,François Demachy,Masculino,Amaderado aromático,"Bergamota, Pimienta","Lavanda, Geranio, Elemi","Ambroxan, Cedro, Labdanum",Duradero,Fuerte
Dior Miss Dior,Dior,2017,François Demachy,Femenino,Floral chipre,"Mandarina, Lichi","Rosa Grasse, Peonía, Jazmín","Almizcle, Pachuli",Moderado,Moderado
Tom Ford Black Orchid,Tom Ford,2006,David Apel,Unisex,Oriental floral,"Trufa negra, Bálsamo, Bérgamota","Orquídea negra, Especias, Fruta","Pachuli, Chocolate, Incienso, Váinilla",Muy duradero,Fuerte
Tom Ford Tobacco Vanille,Tom Ford,2007,"Tom Ford, Givaudan",Unisex,Oriental especiado,"Tabaco, Especias","Cacao, Tonka","Váinilla, Madera, Tabaco dulce",Muy duradero,Moderado a fuerte
Yves Saint Laurent Black Opium,YSL,2014,"Nathalie Lorson, Marie Salamagne, Olivier Cresp",Femenino,Oriental gourmand,"Café, Pera, Mandarina","Jazmín, Almendra amarga, Flor de naranjo","Váinilla, Pachuli, Cedro",Duradero,Fuerte
YSL Libre,YSL,2019,"Anne Flipo, Carlos Benaim",Femenino,Floral amaderado especiado,"Lavanda, Mandarina, Enebro","Flor de naranjo, Jazmín","Vainilla de Madagascar, Almizcle, Cedro",Duradero,Moderado a fuerte
Armani Acqua di Giò,Giorgio Armani,1996,Alberto Morillas,Masculino,Amaderado aromático marino,"Bergamota, Limones sicilianos, Neroli","Jacinto, Romero, Jazmín","Almizcle blanco, Cedro, Musgo de roble",Moderado,Moderado
Armani Stronger With You,Giorgio Armani,2017,"Vera Strubi, Vincent Ardiot, Nathalie Lorson",Masculino,Oriental especiado,"Cardamomo, Pimienta rosa","Piña, Caña de azüar, Lavanda","Vainilla, Cacao, Ámbar, Castor",Duradero,Moderado
Versace Eros,Versace,2012,Aurelien Guichard,Masculino,Amaderado aromático,"Menta, Manzana verde, Limón","Tonka, Ambroxan, Geranio","Vainilla, Vetiver, Musgo de roble, Cedro",Muy duradero,Fuerte
